precision,recall,f1-score,support,top_5_acc,top_5_precision,top_5_recall,top_5_f1
0.5081967213114754,0.62,0.5585585585585586,50.0,,,,
0.5714285714285714,0.64,0.6037735849056605,50.0,,,,
0.6521739130434783,0.6,0.6250000000000001,50.0,,,,
0.5357142857142857,0.3,0.38461538461538464,50.0,,,,
0.7058823529411765,0.72,0.712871287128713,50.0,,,,
0.5081967213114754,0.62,0.5585585585585586,50.0,,,,
0.6078431372549019,0.62,0.6138613861386139,50.0,,,,
0.5285714285714286,0.74,0.6166666666666666,50.0,,,,
0.7413793103448276,0.86,0.7962962962962963,50.0,,,,
0.6382978723404256,0.6,0.6185567010309279,50.0,,,,
0.5522388059701493,0.74,0.6324786324786325,50.0,,,,
0.6842105263157895,0.52,0.5909090909090909,50.0,,,,
0.5555555555555556,0.7,0.6194690265486726,50.0,,,,
0.4642857142857143,0.52,0.49056603773584906,50.0,,,,
0.72,0.72,0.72,50.0,,,,
0.4482758620689655,0.52,0.48148148148148145,50.0,,,,
0.6545454545454545,0.72,0.6857142857142857,50.0,,,,
0.5616438356164384,0.82,0.6666666666666667,50.0,,,,
0.6666666666666666,0.68,0.6732673267326733,50.0,,,,
0.30434782608695654,0.42,0.3529411764705883,50.0,,,,
0.3055555555555556,0.22,0.2558139534883721,50.0,,,,
0.7666666666666667,0.46,0.575,50.0,,,,
0.3815789473684211,0.58,0.4603174603174603,50.0,,,,
0.574468085106383,0.54,0.5567010309278351,50.0,,,,
0.2535211267605634,0.36,0.2975206611570248,50.0,,,,
0.5087719298245614,0.58,0.5420560747663552,50.0,,,,
0.515625,0.66,0.5789473684210525,50.0,,,,
0.3783783783783784,0.28,0.3218390804597701,50.0,,,,
0.26229508196721313,0.32,0.2882882882882883,50.0,,,,
0.4925373134328358,0.66,0.5641025641025641,50.0,,,,
0.4032258064516129,0.5,0.4464285714285714,50.0,,,,
0.3088235294117647,0.42,0.3559322033898305,50.0,,,,
0.20689655172413793,0.12,0.1518987341772152,50.0,,,,
0.4489795918367347,0.44,0.4444444444444445,50.0,,,,
0.625,0.1,0.1724137931034483,50.0,,,,
0.3829787234042553,0.36,0.37113402061855666,50.0,,,,
